race63,hisp,voting_age,header
1,0,1,"P0040005"
2,0,1,"P0040006"
3,0,1,"P0040007"
4,0,1,"P0040008"
5,0,1,"P0040009"
6,0,1,"P0040010"
7,0,1,"P0040013"
8,0,1,"P0040014"
9,0,1,"P0040015"
10,0,1,"P0040016"
11,0,1,"P0040017"
12,0,1,"P0040018"
13,0,1,"P0040019"
14,0,1,"P0040020"
15,0,1,"P0040021"
16,0,1,"P0040022"
17,0,1,"P0040023"
18,0,1,"P0040024"
19,0,1,"P0040025"
20,0,1,"P0040026"
21,0,1,"P0040027"
22,0,1,"P0040029"
23,0,1,"P0040030"
24,0,1,"P0040031"
25,0,1,"P0040032"
26,0,1,"P0040033"
27,0,1,"P0040034"
28,0,1,"P0040035"
29,0,1,"P0040036"
30,0,1,"P0040037"
31,0,1,"P0040038"
32,0,1,"P0040039"
33,0,1,"P0040040"
34,0,1,"P0040041"
35,0,1,"P0040042"
36,0,1,"P0040043"
37,0,1,"P0040044"
38,0,1,"P0040045"
39,0,1,"P0040046"
40,0,1,"P0040047"
41,0,1,"P0040048"
42,0,1,"P0040050"
43,0,1,"P0040051"
44,0,1,"P0040052"
45,0,1,"P0040053"
46,0,1,"P0040054"
47,0,1,"P0040055"
48,0,1,"P0040056"
49,0,1,"P0040057"
50,0,1,"P0040058"
51,0,1,"P0040059"
52,0,1,"P0040060"
53,0,1,"P0040061"
54,0,1,"P0040062"
55,0,1,"P0040063"
56,0,1,"P0040064"
57,0,1,"P0040066"
58,0,1,"P0040067"
59,0,1,"P0040068"
60,0,1,"P0040069"
61,0,1,"P0040070"
62,0,1,"P0040071"
63,0,1,"P0040073"
