sex,age_p12,header
0,0,"H76003_dp"
0,1,"H76004_dp"
0,2,"H76005_dp"
0,3,"H76006_dp"
0,4,"H76007_dp"
0,5,"H76008_dp"
0,6,"H76009_dp"
0,7,"H76010_dp"
0,8,"H76011_dp"
0,9,"H76012_dp"
0,10,"H76013_dp"
0,11,"H76014_dp"
0,12,"H76015_dp"
0,13,"H76016_dp"
0,14,"H76017_dp"
0,15,"H76018_dp"
0,16,"H76019_dp"
0,17,"H76020_dp"
0,18,"H76021_dp"
0,19,"H76022_dp"
0,20,"H76023_dp"
0,21,"H76024_dp"
0,22,"H76025_dp"
1,0,"H76027_dp"
1,1,"H76028_dp"
1,2,"H76029_dp"
1,3,"H76030_dp"
1,4,"H76031_dp"
1,5,"H76032_dp"
1,6,"H76033_dp"
1,7,"H76034_dp"
1,8,"H76035_dp"
1,9,"H76036_dp"
1,10,"H76037_dp"
1,11,"H76038_dp"
1,12,"H76039_dp"
1,13,"H76040_dp"
1,14,"H76041_dp"
1,15,"H76042_dp"
1,16,"H76043_dp"
1,17,"H76044_dp"
1,18,"H76045_dp"
1,19,"H76046_dp"
1,20,"H76047_dp"
1,21,"H76048_dp"
1,22,"H76049_dp"
