age_p12,sex,race7,header
0,0,1,H9A003_dp
1,0,1,H9A004_dp
2,0,1,H9A005_dp
3,0,1,H9A006_dp
4,0,1,H9A007_dp
5,0,1,H9A008_dp
6,0,1,H9A009_dp
7,0,1,H9A010_dp
8,0,1,H9A011_dp
9,0,1,H9A012_dp
10,0,1,H9A013_dp
11,0,1,H9A014_dp
12,0,1,H9A015_dp
13,0,1,H9A016_dp
14,0,1,H9A017_dp
15,0,1,H9A018_dp
16,0,1,H9A019_dp
17,0,1,H9A020_dp
18,0,1,H9A021_dp
19,0,1,H9A022_dp
20,0,1,H9A023_dp
21,0,1,H9A024_dp
22,0,1,H9A025_dp
0,1,1,H9A027_dp
1,1,1,H9A028_dp
2,1,1,H9A029_dp
3,1,1,H9A030_dp
4,1,1,H9A031_dp
5,1,1,H9A032_dp
6,1,1,H9A033_dp
7,1,1,H9A034_dp
8,1,1,H9A035_dp
9,1,1,H9A036_dp
10,1,1,H9A037_dp
11,1,1,H9A038_dp
12,1,1,H9A039_dp
13,1,1,H9A040_dp
14,1,1,H9A041_dp
15,1,1,H9A042_dp
16,1,1,H9A043_dp
17,1,1,H9A044_dp
18,1,1,H9A045_dp
19,1,1,H9A046_dp
20,1,1,H9A047_dp
21,1,1,H9A048_dp
22,1,1,H9A049_dp
