age_p12,sex,race7,header
0,0,2,H9B003_dp
1,0,2,H9B004_dp
2,0,2,H9B005_dp
3,0,2,H9B006_dp
4,0,2,H9B007_dp
5,0,2,H9B008_dp
6,0,2,H9B009_dp
7,0,2,H9B010_dp
8,0,2,H9B011_dp
9,0,2,H9B012_dp
10,0,2,H9B013_dp
11,0,2,H9B014_dp
12,0,2,H9B015_dp
13,0,2,H9B016_dp
14,0,2,H9B017_dp
15,0,2,H9B018_dp
16,0,2,H9B019_dp
17,0,2,H9B020_dp
18,0,2,H9B021_dp
19,0,2,H9B022_dp
20,0,2,H9B023_dp
21,0,2,H9B024_dp
22,0,2,H9B025_dp
0,1,2,H9B027_dp
1,1,2,H9B028_dp
2,1,2,H9B029_dp
3,1,2,H9B030_dp
4,1,2,H9B031_dp
5,1,2,H9B032_dp
6,1,2,H9B033_dp
7,1,2,H9B034_dp
8,1,2,H9B035_dp
9,1,2,H9B036_dp
10,1,2,H9B037_dp
11,1,2,H9B038_dp
12,1,2,H9B039_dp
13,1,2,H9B040_dp
14,1,2,H9B041_dp
15,1,2,H9B042_dp
16,1,2,H9B043_dp
17,1,2,H9B044_dp
18,1,2,H9B045_dp
19,1,2,H9B046_dp
20,1,2,H9B047_dp
21,1,2,H9B048_dp
22,1,2,H9B049_dp
