age_p12,sex,race7,header
0,0,3,H9C003_dp
1,0,3,H9C004_dp
2,0,3,H9C005_dp
3,0,3,H9C006_dp
4,0,3,H9C007_dp
5,0,3,H9C008_dp
6,0,3,H9C009_dp
7,0,3,H9C010_dp
8,0,3,H9C011_dp
9,0,3,H9C012_dp
10,0,3,H9C013_dp
11,0,3,H9C014_dp
12,0,3,H9C015_dp
13,0,3,H9C016_dp
14,0,3,H9C017_dp
15,0,3,H9C018_dp
16,0,3,H9C019_dp
17,0,3,H9C020_dp
18,0,3,H9C021_dp
19,0,3,H9C022_dp
20,0,3,H9C023_dp
21,0,3,H9C024_dp
22,0,3,H9C025_dp
0,1,3,H9C027_dp
1,1,3,H9C028_dp
2,1,3,H9C029_dp
3,1,3,H9C030_dp
4,1,3,H9C031_dp
5,1,3,H9C032_dp
6,1,3,H9C033_dp
7,1,3,H9C034_dp
8,1,3,H9C035_dp
9,1,3,H9C036_dp
10,1,3,H9C037_dp
11,1,3,H9C038_dp
12,1,3,H9C039_dp
13,1,3,H9C040_dp
14,1,3,H9C041_dp
15,1,3,H9C042_dp
16,1,3,H9C043_dp
17,1,3,H9C044_dp
18,1,3,H9C045_dp
19,1,3,H9C046_dp
20,1,3,H9C047_dp
21,1,3,H9C048_dp
22,1,3,H9C049_dp
