age_p12,sex,race7,header
0,0,4,H9D003_dp
1,0,4,H9D004_dp
2,0,4,H9D005_dp
3,0,4,H9D006_dp
4,0,4,H9D007_dp
5,0,4,H9D008_dp
6,0,4,H9D009_dp
7,0,4,H9D010_dp
8,0,4,H9D011_dp
9,0,4,H9D012_dp
10,0,4,H9D013_dp
11,0,4,H9D014_dp
12,0,4,H9D015_dp
13,0,4,H9D016_dp
14,0,4,H9D017_dp
15,0,4,H9D018_dp
16,0,4,H9D019_dp
17,0,4,H9D020_dp
18,0,4,H9D021_dp
19,0,4,H9D022_dp
20,0,4,H9D023_dp
21,0,4,H9D024_dp
22,0,4,H9D025_dp
0,1,4,H9D027_dp
1,1,4,H9D028_dp
2,1,4,H9D029_dp
3,1,4,H9D030_dp
4,1,4,H9D031_dp
5,1,4,H9D032_dp
6,1,4,H9D033_dp
7,1,4,H9D034_dp
8,1,4,H9D035_dp
9,1,4,H9D036_dp
10,1,4,H9D037_dp
11,1,4,H9D038_dp
12,1,4,H9D039_dp
13,1,4,H9D040_dp
14,1,4,H9D041_dp
15,1,4,H9D042_dp
16,1,4,H9D043_dp
17,1,4,H9D044_dp
18,1,4,H9D045_dp
19,1,4,H9D046_dp
20,1,4,H9D047_dp
21,1,4,H9D048_dp
22,1,4,H9D049_dp
