age_p12,sex,race7,header
0,0,5,H9E003_dp
1,0,5,H9E004_dp
2,0,5,H9E005_dp
3,0,5,H9E006_dp
4,0,5,H9E007_dp
5,0,5,H9E008_dp
6,0,5,H9E009_dp
7,0,5,H9E010_dp
8,0,5,H9E011_dp
9,0,5,H9E012_dp
10,0,5,H9E013_dp
11,0,5,H9E014_dp
12,0,5,H9E015_dp
13,0,5,H9E016_dp
14,0,5,H9E017_dp
15,0,5,H9E018_dp
16,0,5,H9E019_dp
17,0,5,H9E020_dp
18,0,5,H9E021_dp
19,0,5,H9E022_dp
20,0,5,H9E023_dp
21,0,5,H9E024_dp
22,0,5,H9E025_dp
0,1,5,H9E027_dp
1,1,5,H9E028_dp
2,1,5,H9E029_dp
3,1,5,H9E030_dp
4,1,5,H9E031_dp
5,1,5,H9E032_dp
6,1,5,H9E033_dp
7,1,5,H9E034_dp
8,1,5,H9E035_dp
9,1,5,H9E036_dp
10,1,5,H9E037_dp
11,1,5,H9E038_dp
12,1,5,H9E039_dp
13,1,5,H9E040_dp
14,1,5,H9E041_dp
15,1,5,H9E042_dp
16,1,5,H9E043_dp
17,1,5,H9E044_dp
18,1,5,H9E045_dp
19,1,5,H9E046_dp
20,1,5,H9E047_dp
21,1,5,H9E048_dp
22,1,5,H9E049_dp
