age_p12,sex,race7,header
0,0,7,H9G003_dp
1,0,7,H9G004_dp
2,0,7,H9G005_dp
3,0,7,H9G006_dp
4,0,7,H9G007_dp
5,0,7,H9G008_dp
6,0,7,H9G009_dp
7,0,7,H9G010_dp
8,0,7,H9G011_dp
9,0,7,H9G012_dp
10,0,7,H9G013_dp
11,0,7,H9G014_dp
12,0,7,H9G015_dp
13,0,7,H9G016_dp
14,0,7,H9G017_dp
15,0,7,H9G018_dp
16,0,7,H9G019_dp
17,0,7,H9G020_dp
18,0,7,H9G021_dp
19,0,7,H9G022_dp
20,0,7,H9G023_dp
21,0,7,H9G024_dp
22,0,7,H9G025_dp
0,1,7,H9G027_dp
1,1,7,H9G028_dp
2,1,7,H9G029_dp
3,1,7,H9G030_dp
4,1,7,H9G031_dp
5,1,7,H9G032_dp
6,1,7,H9G033_dp
7,1,7,H9G034_dp
8,1,7,H9G035_dp
9,1,7,H9G036_dp
10,1,7,H9G037_dp
11,1,7,H9G038_dp
12,1,7,H9G039_dp
13,1,7,H9G040_dp
14,1,7,H9G041_dp
15,1,7,H9G042_dp
16,1,7,H9G043_dp
17,1,7,H9G044_dp
18,1,7,H9G045_dp
19,1,7,H9G046_dp
20,1,7,H9G047_dp
21,1,7,H9G048_dp
22,1,7,H9G049_dp
