age_p12,sex,race7,hisp,header
0,0,1,0,H9I003_dp
1,0,1,0,H9I004_dp
2,0,1,0,H9I005_dp
3,0,1,0,H9I006_dp
4,0,1,0,H9I007_dp
5,0,1,0,H9I008_dp
6,0,1,0,H9I009_dp
7,0,1,0,H9I010_dp
8,0,1,0,H9I011_dp
9,0,1,0,H9I012_dp
10,0,1,0,H9I013_dp
11,0,1,0,H9I014_dp
12,0,1,0,H9I015_dp
13,0,1,0,H9I016_dp
14,0,1,0,H9I017_dp
15,0,1,0,H9I018_dp
16,0,1,0,H9I019_dp
17,0,1,0,H9I020_dp
18,0,1,0,H9I021_dp
19,0,1,0,H9I022_dp
20,0,1,0,H9I023_dp
21,0,1,0,H9I024_dp
22,0,1,0,H9I025_dp
0,1,1,0,H9I027_dp
1,1,1,0,H9I028_dp
2,1,1,0,H9I029_dp
3,1,1,0,H9I030_dp
4,1,1,0,H9I031_dp
5,1,1,0,H9I032_dp
6,1,1,0,H9I033_dp
7,1,1,0,H9I034_dp
8,1,1,0,H9I035_dp
9,1,1,0,H9I036_dp
10,1,1,0,H9I037_dp
11,1,1,0,H9I038_dp
12,1,1,0,H9I039_dp
13,1,1,0,H9I040_dp
14,1,1,0,H9I041_dp
15,1,1,0,H9I042_dp
16,1,1,0,H9I043_dp
17,1,1,0,H9I044_dp
18,1,1,0,H9I045_dp
19,1,1,0,H9I046_dp
20,1,1,0,H9I047_dp
21,1,1,0,H9I048_dp
22,1,1,0,H9I049_dp
